time_s,clean_after_pga_uV,ideal_decimated_uV,adc_out_uV,error_uV,fifo_spi_code_int24
3.920000000000000151e-01,1.201978182851161182e+04,7.438301923638066910e+03,7.812500000000000000e+03,3.741980763619333175e+02,1.310720000000000000e+06
3.960000000000000187e-01,1.425975647411153477e+04,9.915894263305377535e+03,1.093750000000000182e+04,1.021605736694623829e+03,1.835008000000000000e+06
4.000000000000000222e-01,1.609168668167143551e+04,1.192762317186278597e+04,1.093750000000000182e+04,-9.901231718627851706e+02,1.835008000000000000e+06
4.040000000000000258e-01,1.741951143446559581e+04,1.373944592992578146e+04,1.406250000000000000e+04,3.230540700742187141e+02,2.359296000000000000e+06
4.079999999999999738e-01,1.816820826210969244e+04,1.492008214286345901e+04,1.562500000000000000e+04,7.049178571365416701e+02,2.621440000000000000e+06
4.119999999999999774e-01,1.828825722542010044e+04,1.553615676800624897e+04,1.406250000000000000e+04,-1.473656768006249195e+03,2.359296000000000000e+06
4.159999999999999809e-01,1.775894083794071776e+04,1.530441595397560377e+04,1.562500000000000000e+04,3.205840460243965708e+02,2.621440000000000000e+06
4.199999999999999845e-01,1.659026498501063543e+04,1.501384900195199043e+04,1.562500000000000000e+04,6.111509980480101376e+02,2.621440000000000000e+06
4.239999999999999880e-01,1.482335519370978000e+04,1.388192205452126291e+04,1.406250000000000000e+04,1.805779454787381724e+02,2.359296000000000000e+06
4.279999999999999916e-01,1.252926205616150583e+04,1.233042659263281348e+04,1.250000000000000000e+04,1.695734073671878548e+02,2.097152000000000000e+06
4.319999999999999951e-01,9.806194881155763142e+03,1.001149935453767830e+04,9.375000000000001819e+03,-6.364993545376773909e+02,1.572864000000000000e+06
4.359999999999999987e-01,6.775288978608539765e+03,7.290687833741333634e+03,7.812500000000000000e+03,5.218121662586664797e+02,1.310720000000000000e+06
4.400000000000000022e-01,3.575094444417479735e+03,4.547320520659974136e+03,4.687500000000000909e+03,1.401794793400266883e+02,7.864320000000000000e+05
4.440000000000000058e-01,3.550481181280072178e+02,1.420941677596135378e+03,1.562500000000000000e+03,1.415583224038646222e+02,2.621440000000000000e+05
4.480000000000000093e-01,-2.731748841932107553e+03,-1.455738905403937451e+03,-1.562500000000000000e+03,-1.067610945960626765e+02,-2.621440000000000000e+05
4.520000000000000129e-01,-5.536081274646867314e+03,-4.579923080549482620e+03,-4.687500000000000909e+03,-1.075769194505181758e+02,-7.864320000000000000e+05
4.560000000000000164e-01,-7.920107194971763420e+03,-7.433019182269517842e+03,-7.812500000000000000e+03,-3.794808177304820447e+02,-1.310720000000000000e+06
4.600000000000000200e-01,-9.764387480671992307e+03,-9.909767454708715377e+03,-9.375000000000001819e+03,5.347674547087136716e+02,-1.572864000000000000e+06
4.640000000000000235e-01,-1.097408209826370876e+04,-1.183499624389020937e+04,-1.250000000000000000e+04,-6.650037561097918797e+02,-2.097152000000000000e+06
4.680000000000000271e-01,-1.148397626093744475e+04,-1.313788579872504124e+04,-1.250000000000000000e+04,6.378857987250404449e+02,-2.097152000000000000e+06
4.719999999999999751e-01,-1.126205829870511479e+04,-1.357038058418137189e+04,-1.406250000000000000e+04,-4.921194158186287382e+02,-2.359296000000000000e+06
4.759999999999999787e-01,-1.031144537545751155e+04,-1.338422374175793630e+04,-1.406250000000000000e+04,-6.782762582420633635e+02,-2.359296000000000000e+06
4.799999999999999822e-01,-8.670539507783365480e+03,-1.231044576905771646e+04,-1.250000000000000000e+04,-1.895542309422841640e+02,-2.097152000000000000e+06
4.839999999999999858e-01,-6.411389907167907040e+03,-1.071046552291847729e+04,-9.375000000000001819e+03,1.335465522918475017e+03,-1.572864000000000000e+06
4.879999999999999893e-01,-3.636333311720906750e+03,-8.454710082316149055e+03,-9.375000000000001819e+03,-9.202899176838519679e+02,-1.572864000000000000e+06
4.919999999999999929e-01,-4.730763734795219762e+02,-6.170960056184702808e+03,-6.250000000000000000e+03,-7.903994381529798829e+01,-1.048576000000000000e+06
4.959999999999999964e-01,2.931531846641057200e+03,-2.990850701711588499e+03,-3.125000000000000000e+03,-1.341492982884118419e+02,-5.242880000000000000e+05
5.000000000000000000e-01,6.418718368921176989e+03,4.347931242708647233e+02,1.562500000000000000e+03,1.127706875729135390e+03,2.621440000000000000e+05
5.040000000000000036e-01,9.825623128898314462e+03,3.972243022705063140e+03,3.125000000000000000e+03,-8.472430227050627991e+02,5.242880000000000000e+05
5.080000000000000071e-01,1.299334793468965836e+04,7.074781354075049421e+03,7.812500000000000000e+03,7.377186459249506925e+02,1.310720000000000000e+06
5.120000000000000107e-01,1.577479979865747191e+04,1.004140293697989728e+04,9.375000000000001819e+03,-6.664029369798963671e+02,1.572864000000000000e+06
5.160000000000000142e-01,1.804192206963157514e+04,1.271643589713953406e+04,1.250000000000000000e+04,-2.164358971395337221e+02,2.097152000000000000e+06
5.200000000000000178e-01,1.969194003849533692e+04,1.486414443085682433e+04,1.562500000000000000e+04,7.608555691431747618e+02,2.621440000000000000e+06
5.240000000000000213e-01,2.065230112930526957e+04,1.642704710191793492e+04,1.562500000000000000e+04,-8.020471019179360610e+02,2.621440000000000000e+06
5.280000000000000249e-01,2.088406040431532892e+04,1.732478068434293891e+04,1.718750000000000000e+04,-1.372806843429365244e+02,2.883584000000000000e+06
5.320000000000000284e-01,2.038354592685661555e+04,1.751059604851467884e+04,1.875000000000000364e+04,1.239403951485324569e+03,3.145728000000000000e+06
5.360000000000000320e-01,1.918223083340587254e+04,1.684774238222627537e+04,1.562500000000000000e+04,-1.222742382226273776e+03,2.621440000000000000e+06
5.400000000000000355e-01,1.734483460093999747e+04,1.582694757814451987e+04,1.562500000000000000e+04,-2.019475781445192979e+02,2.621440000000000000e+06
5.440000000000000391e-01,1.496576963544926730e+04,1.398996207325309661e+04,1.406250000000000000e+04,7.253792674690416220e+01,2.359296000000000000e+06
5.480000000000000426e-01,1.216413577870212248e+04,1.175202642189644939e+04,1.250000000000000000e+04,7.479735781035518585e+02,2.097152000000000000e+06
5.520000000000000462e-01,9.077539904721059429e+03,9.122645634917746065e+03,9.375000000000001819e+03,2.523543650822558675e+02,1.572864000000000000e+06
5.560000000000000497e-01,5.855076440602815637e+03,5.991495966918274462e+03,6.250000000000000000e+03,2.585040330817262770e+02,1.048576000000000000e+06
5.600000000000000533e-01,2.649844323098731820e+03,2.631944291471176712e+03,1.562500000000000000e+03,-1.069444291471176712e+03,2.621440000000000000e+05
5.639999999999999458e-01,-3.886053746760549075e+02,-1.328468929325329100e+02,0.000000000000000000e+00,1.328468929325329100e+02,0.000000000000000000e+00
5.679999999999999494e-01,-3.121499900149309269e+03,-3.263172476943304900e+03,-3.125000000000000000e+03,1.381724769433045026e+02,-5.242880000000000000e+05
5.719999999999999529e-01,-5.427386331080469063e+03,-5.865103477397097777e+03,-6.250000000000000000e+03,-3.848965226029027917e+02,-1.048576000000000000e+06
5.759999999999999565e-01,-7.207660868188057066e+03,-7.980477051582375680e+03,-7.812500000000000000e+03,1.679770515823752248e+02,-1.310720000000000000e+06
5.799999999999999600e-01,-8.390823177784479412e+03,-9.940115603045918760e+03,-9.375000000000001819e+03,5.651156030459167141e+02,-1.572864000000000000e+06
5.839999999999999636e-01,-8.935266684999218342e+03,-1.108173887937408472e+04,-1.093750000000000182e+04,1.442388793740836377e+02,-1.835008000000000000e+06
5.879999999999999671e-01,-8.830498082057581996e+03,-1.176483160762443003e+04,-1.250000000000000000e+04,-7.351683923755708747e+02,-2.097152000000000000e+06
5.919999999999999707e-01,-8.096765623116836650e+03,-1.182633363091380852e+04,-1.093750000000000182e+04,8.888336309138076103e+02,-1.835008000000000000e+06
5.959999999999999742e-01,-6.783161103594732595e+03,-1.114246054752665441e+04,-1.093750000000000182e+04,2.049605475266530448e+02,-1.835008000000000000e+06
5.999999999999999778e-01,-4.964339996846309077e+03,-9.656751330289345788e+03,-1.093750000000000182e+04,-1.280748669710654895e+03,-1.835008000000000000e+06
